,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
80,RJay,Arizona State University,Management Information System,Fall 2019 ,Interested,320,IELTS,6.5,7.77 CGPA ,9 months
81,kratikasainferno,Arizona State University,Management Information System,Spring 2019 ,Interested,306,TOEFL,102,65%,26 months
82,ManeeshMettu,Arizona State University,Management Information System,Fall 2019 ,Interested,315,TOEFL,112,8.3 CGPA ,12 months
83,Rishabh Rai,Arizona State University,Management Information System,Fall 2018 ,Interested,N.A. ,ENG TEST,NA ,55%,16 months
,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
1,Urvish1808,Boston University,Management Information System,Fall 2017 ,Applied,N.A. ,TOEFL,92,7.6 CGPA ,NA
2,kuhubh6354,Boston University,Management Information System,Fall 2016 ,Applied,313,TOEFL,101,73%,30 months
3,a1hooman,Boston University,Management Information System,Fall 2017 ,Applied,305,TOEFL,91,5.93 CGPA ,NA
4,sahilgupta,Boston University,Management Information System,Fall 2016 ,Applied,336,TOEFL,107,6 CGPA ,30 months
5,meet786,Boston University,Management Information System,Spring 2016 ,Applied,325,TOEFL,99,5 CGPA ,NA
6,nidhigupta,Boston University,Management Information System,Fall 2016 ,Applied,305,TOEFL,103,81%,NA
7,dhakad,Boston University,Management Information System,Spring 2016 ,Applied,307,TOEFL,80,81%,NA
8,malhota,Boston University,Management Information System,Fall 2016 ,Applied,299,IELTS,7.5,78%,NA
9,kuhubh635,Boston University,Management Information System,Fall 2016 ,Applied,313,TOEFL,101,73.64%,NA
10,shubhamvijan,Boston University,Management Information System,Fall 2016 ,Applied,301,IELTS,7,6.35 CGPA ,10 months
12,AdityaShri1995,Boston University,Management Information System,Fall 2018 ,Admit,296,TOEFL,90,5.67 CGPA ,8 months
13,ishanwagle,Boston University,Management Information System,Fall 2018 ,Admit,316,TOEFL,106,6.75 CGPA ,5 months
14,charchil10,Boston University,Management Information System,Fall 2017 ,Admit,310,TOEFL,112,72.30%,22 months
15,apurvahg,Boston University,Management Information System,Fall 2016 ,Admit,310,TOEFL,97,56%,82 months
16,kekarthik1994,Boston University,Management Information System,Fall 2016 ,Admit,300,TOEFL,97,6.085 CGPA ,6 months
17,Tanisha,Boston University,Management Information System,Spring 2016 ,Admit,315,TOEFL,99,73.42%,26 months
18,nktchaudhari21,Boston University,Management Information System,Fall 2015 ,Admit,298,TOEFL,88,53%,20 months
19,vaishakh-sasalatti,Boston University,Management Information System,Fall 2015 ,Admit,309,TOEFL,108,7.5 CGPA ,10 months
22,Sheri27,Boston University,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,7.04 CGPA ,NA
23,sandeepyadav599,Boston University,Management Information System,Fall 2020 ,Interested,310,TOEFL,92,5.5 CGPA ,NA
24,diviraj,Boston University,Management Information System,Spring 2019 ,Interested,303,TOEFL,103,9 CGPA ,2 months
25,priyabalaji,Boston University,Management Information System,Fall 2019 ,Interested,N.A. ,IELTS,7.5,7.35 CGPA ,NA
26,Apoorva171996,Boston University,Management Information System,Spring 2019 ,Interested,302,TOEFL,100,71%,NA
27,sisirchinferno,Boston University,Management Information System,Spring 2019 ,Interested,308,TOEFL,100,6.47 CGPA ,38 months
28,Prasad M,Boston University,Management Information System,Fall 2018 ,Interested,306,ENG TEST,NA ,63%,NA
