,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
69,pranay1996,University at Buffalo SUNY,Management Information System,Fall 2019 ,Interested,310,TOEFL,99,6.48 CGPA ,12 months
70,Apoorva171996,University at Buffalo SUNY,Management Information System,Spring 2019 ,Interested,302,TOEFL,100,71%,NA
71,PrachiTembhekar,University at Buffalo SUNY,Management Information System,Fall 2019 ,Interested,290,ENG TEST,NA ,76%,NA
72,Kaityln,University at Buffalo SUNY,Management Information System,Fall 2019 ,Interested,N.A. ,IELTS,8,7.4 CGPA ,12 months
73,ManeeshMettu,University at Buffalo SUNY,Management Information System,Fall 2019 ,Interested,315,TOEFL,112,8.3 CGPA ,12 months
74,Shreyaschaudhari,University at Buffalo SUNY,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,6.8 CGPA ,1 month
75,aviralpushkarna,University at Buffalo SUNY,Management Information System,Fall 2019 ,Interested,318,ENG TEST,NA ,7.71 CGPA ,NA
76,nidhi-badde,University at Buffalo SUNY,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,65%,12 months
77,SarthakA,University at Buffalo SUNY,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,7.81 CGPA ,1 month
78,Himuuu,University at Buffalo SUNY,Management Information System,Fall 2018 ,Interested,309,TOEFL,100,7.2 CGPA ,1 month
79,priyabalaji,University at Buffalo SUNY,Management Information System,Fall 2019 ,Interested,N.A. ,IELTS,7.5,7.35 CGPA ,NA
80,shivani10397,University at Buffalo SUNY,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,7.02 CGPA ,NA
81,Dishu31,University at Buffalo SUNY,Management Information System,Fall 2019 ,Interested,315,TOEFL,100,7.54 CGPA ,NA
82,AATIK1993,University at Buffalo SUNY,Management Information System,Fall 2018 ,Interested,306,IELTS,8,71.40%,20 months
83,nidhipriya1993,University at Buffalo SUNY,Management Information System,Spring 2019 ,Interested,298,TOEFL,90,9.12 CGPA ,24 months
,Name,University,Year,Status,GRE,GRE_SCORE,Eng_test,Test_score,Undergrad,Undergrad_score,work_ex
2,amruthamandadi,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,306,TOEFL,97,UNDERGRAD,73%,42 months
3,viraj1331,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,317,IELTS,7,UNDERGRAD,63.70%,1 month
4,Aishwarya S,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,300,TOEFL,88,UNDERGRAD,8.18 CGPA ,24 months
5,priyankaguha36,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,N.A. ,TOEFL,90,UNDERGRAD,82%,48 months
6,SagarMulani,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,308,TOEFL,99,UNDERGRAD,65%,19 months
7,hrgupta,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,310,TOEFL,107,UNDERGRAD,7.39 CGPA ,14 months
8,ParthMehta,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,314,TOEFL,106,UNDERGRAD,9.15 CGPA ,NA
9,AkRel,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,302,TOEFL,101,UNDERGRAD,65%,30 months
10,adi1993,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,303,TOEFL,94,UNDERGRAD,7.37 CGPA ,27 months
11,KrithikaCT,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,301,TOEFL,0,UNDERGRAD,80.12%,60 months
12,aditi15,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,310,TOEFL,0,UNDERGRAD,79.70%,36 months
13,DrashtiShah,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,308,TOEFL,95,UNDERGRAD,3.5 CGPA ,3 months
14,ArthiAbilasha,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,302,IELTS,0,UNDERGRAD,7.3 CGPA ,1 month
15,Kripesh,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,304,TOEFL,96,UNDERGRAD,7.87 CGPA ,12 months
16,rshetty,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,TOEFL,111,UNDERGRAD,7.6 CGPA ,NA
17,Hemangjalali,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,TOEFL,94,UNDERGRAD,79%,37 months
18,ishan147,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,312,TOEFL,104,UNDERGRAD,8.7 CGPA ,20 months
19,kumar007,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,ENG TEST,NA ,UNDERGRAD,65%,40 months
20,AbhinavSharma0794,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,319,TOEFL,114,UNDERGRAD,6.71 CGPA ,14 months
22,Nishigandha,Syracuse University Management Information System,Fall 2019 ,Admit,GRE,N.A. ,ENG TEST,NA ,UNDERGRAD,65.30%,18 months
24,viraj1331,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,317,IELTS,7,UNDERGRAD,63.70%,1 month
25,Aishwarya S,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,300,TOEFL,88,UNDERGRAD,8.18 CGPA ,24 months
26,priyankaguha36,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,N.A. ,TOEFL,90,UNDERGRAD,82%,48 months
27,SagarMulani,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,308,TOEFL,99,UNDERGRAD,65%,19 months
28,hrgupta,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,310,TOEFL,107,UNDERGRAD,7.39 CGPA ,14 months
29,ParthMehta,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,314,TOEFL,106,UNDERGRAD,9.15 CGPA ,NA
30,AkRel,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,302,TOEFL,101,UNDERGRAD,65%,30 months
31,adi1993,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,303,TOEFL,94,UNDERGRAD,7.37 CGPA ,27 months
32,KrithikaCT,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,301,TOEFL,0,UNDERGRAD,80.12%,60 months
33,aditi15,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,310,TOEFL,0,UNDERGRAD,79.70%,36 months
34,DrashtiShah,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,308,TOEFL,95,UNDERGRAD,3.5 CGPA ,3 months
35,ArthiAbilasha,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,302,IELTS,0,UNDERGRAD,7.3 CGPA ,1 month
36,Kripesh,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,304,TOEFL,96,UNDERGRAD,7.87 CGPA ,12 months
37,rshetty,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,TOEFL,111,UNDERGRAD,7.6 CGPA ,NA
38,Hemangjalali,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,TOEFL,94,UNDERGRAD,79%,37 months
39,ishan147,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,312,TOEFL,104,UNDERGRAD,8.7 CGPA ,20 months
40,kumar007,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,ENG TEST,NA ,UNDERGRAD,65%,40 months
41,AbhinavSharma0794,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,319,TOEFL,114,UNDERGRAD,6.71 CGPA ,14 months
43,Nishigandha,Syracuse University Management Information System,Fall 2019 ,Admit,GRE,N.A. ,ENG TEST,NA ,UNDERGRAD,65.30%,18 months
44,amruthamandadi,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,306,TOEFL,97,UNDERGRAD,73%,42 months
46,Aishwarya S,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,300,TOEFL,88,UNDERGRAD,8.18 CGPA ,24 months
47,priyankaguha36,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,N.A. ,TOEFL,90,UNDERGRAD,82%,48 months
48,SagarMulani,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,308,TOEFL,99,UNDERGRAD,65%,19 months
49,hrgupta,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,310,TOEFL,107,UNDERGRAD,7.39 CGPA ,14 months
50,ParthMehta,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,314,TOEFL,106,UNDERGRAD,9.15 CGPA ,NA
51,AkRel,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,302,TOEFL,101,UNDERGRAD,65%,30 months
52,adi1993,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,303,TOEFL,94,UNDERGRAD,7.37 CGPA ,27 months
53,KrithikaCT,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,301,TOEFL,0,UNDERGRAD,80.12%,60 months
54,aditi15,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,310,TOEFL,0,UNDERGRAD,79.70%,36 months
55,DrashtiShah,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,308,TOEFL,95,UNDERGRAD,3.5 CGPA ,3 months
56,ArthiAbilasha,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,302,IELTS,0,UNDERGRAD,7.3 CGPA ,1 month
57,Kripesh,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,304,TOEFL,96,UNDERGRAD,7.87 CGPA ,12 months
58,rshetty,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,TOEFL,111,UNDERGRAD,7.6 CGPA ,NA
59,Hemangjalali,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,TOEFL,94,UNDERGRAD,79%,37 months
60,ishan147,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,312,TOEFL,104,UNDERGRAD,8.7 CGPA ,20 months
61,kumar007,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,ENG TEST,NA ,UNDERGRAD,65%,40 months
62,AbhinavSharma0794,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,319,TOEFL,114,UNDERGRAD,6.71 CGPA ,14 months
64,Nishigandha,Syracuse University Management Information System,Fall 2019 ,Admit,GRE,N.A. ,ENG TEST,NA ,UNDERGRAD,65.30%,18 months
65,amruthamandadi,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,306,TOEFL,97,UNDERGRAD,73%,42 months
66,viraj1331,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,317,IELTS,7,UNDERGRAD,63.70%,1 month
68,priyankaguha36,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,N.A. ,TOEFL,90,UNDERGRAD,82%,48 months
69,SagarMulani,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,308,TOEFL,99,UNDERGRAD,65%,19 months
70,hrgupta,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,310,TOEFL,107,UNDERGRAD,7.39 CGPA ,14 months
71,ParthMehta,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,314,TOEFL,106,UNDERGRAD,9.15 CGPA ,NA
72,AkRel,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,302,TOEFL,101,UNDERGRAD,65%,30 months
73,adi1993,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,303,TOEFL,94,UNDERGRAD,7.37 CGPA ,27 months
74,KrithikaCT,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,301,TOEFL,0,UNDERGRAD,80.12%,60 months
75,aditi15,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,310,TOEFL,0,UNDERGRAD,79.70%,36 months
76,DrashtiShah,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,308,TOEFL,95,UNDERGRAD,3.5 CGPA ,3 months
77,ArthiAbilasha,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,302,IELTS,0,UNDERGRAD,7.3 CGPA ,1 month
78,Kripesh,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,304,TOEFL,96,UNDERGRAD,7.87 CGPA ,12 months
79,rshetty,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,TOEFL,111,UNDERGRAD,7.6 CGPA ,NA
80,Hemangjalali,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,TOEFL,94,UNDERGRAD,79%,37 months
81,ishan147,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,312,TOEFL,104,UNDERGRAD,8.7 CGPA ,20 months
82,kumar007,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,ENG TEST,NA ,UNDERGRAD,65%,40 months
83,AbhinavSharma0794,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,319,TOEFL,114,UNDERGRAD,6.71 CGPA ,14 months
85,Nishigandha,Syracuse University Management Information System,Fall 2019 ,Admit,GRE,N.A. ,ENG TEST,NA ,UNDERGRAD,65.30%,18 months
86,amruthamandadi,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,306,TOEFL,97,UNDERGRAD,73%,42 months
87,viraj1331,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,317,IELTS,7,UNDERGRAD,63.70%,1 month
88,Aishwarya S,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,300,TOEFL,88,UNDERGRAD,8.18 CGPA ,24 months
90,SagarMulani,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,308,TOEFL,99,UNDERGRAD,65%,19 months
91,hrgupta,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,310,TOEFL,107,UNDERGRAD,7.39 CGPA ,14 months
92,ParthMehta,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,314,TOEFL,106,UNDERGRAD,9.15 CGPA ,NA
93,AkRel,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,302,TOEFL,101,UNDERGRAD,65%,30 months
94,adi1993,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,303,TOEFL,94,UNDERGRAD,7.37 CGPA ,27 months
95,KrithikaCT,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,301,TOEFL,0,UNDERGRAD,80.12%,60 months
96,aditi15,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,310,TOEFL,0,UNDERGRAD,79.70%,36 months
97,DrashtiShah,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,308,TOEFL,95,UNDERGRAD,3.5 CGPA ,3 months
98,ArthiAbilasha,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,302,IELTS,0,UNDERGRAD,7.3 CGPA ,1 month
99,Kripesh,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,304,TOEFL,96,UNDERGRAD,7.87 CGPA ,12 months
100,rshetty,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,TOEFL,111,UNDERGRAD,7.6 CGPA ,NA
101,Hemangjalali,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,TOEFL,94,UNDERGRAD,79%,37 months
102,ishan147,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,312,TOEFL,104,UNDERGRAD,8.7 CGPA ,20 months
103,kumar007,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,ENG TEST,NA ,UNDERGRAD,65%,40 months
104,AbhinavSharma0794,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,319,TOEFL,114,UNDERGRAD,6.71 CGPA ,14 months
106,Nishigandha,Syracuse University Management Information System,Fall 2019 ,Admit,GRE,N.A. ,ENG TEST,NA ,UNDERGRAD,65.30%,18 months
107,amruthamandadi,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,306,TOEFL,97,UNDERGRAD,73%,42 months
108,viraj1331,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,317,IELTS,7,UNDERGRAD,63.70%,1 month
109,Aishwarya S,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,300,TOEFL,88,UNDERGRAD,8.18 CGPA ,24 months
110,priyankaguha36,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,N.A. ,TOEFL,90,UNDERGRAD,82%,48 months
112,hrgupta,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,310,TOEFL,107,UNDERGRAD,7.39 CGPA ,14 months
113,ParthMehta,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,314,TOEFL,106,UNDERGRAD,9.15 CGPA ,NA
114,AkRel,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,302,TOEFL,101,UNDERGRAD,65%,30 months
115,adi1993,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,303,TOEFL,94,UNDERGRAD,7.37 CGPA ,27 months
116,KrithikaCT,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,301,TOEFL,0,UNDERGRAD,80.12%,60 months
117,aditi15,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,310,TOEFL,0,UNDERGRAD,79.70%,36 months
118,DrashtiShah,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,308,TOEFL,95,UNDERGRAD,3.5 CGPA ,3 months
119,ArthiAbilasha,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,302,IELTS,0,UNDERGRAD,7.3 CGPA ,1 month
120,Kripesh,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,304,TOEFL,96,UNDERGRAD,7.87 CGPA ,12 months
121,rshetty,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,TOEFL,111,UNDERGRAD,7.6 CGPA ,NA
122,Hemangjalali,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,TOEFL,94,UNDERGRAD,79%,37 months
123,ishan147,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,312,TOEFL,104,UNDERGRAD,8.7 CGPA ,20 months
124,kumar007,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,ENG TEST,NA ,UNDERGRAD,65%,40 months
125,AbhinavSharma0794,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,319,TOEFL,114,UNDERGRAD,6.71 CGPA ,14 months
127,Nishigandha,Syracuse University Management Information System,Fall 2019 ,Admit,GRE,N.A. ,ENG TEST,NA ,UNDERGRAD,65.30%,18 months
128,amruthamandadi,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,306,TOEFL,97,UNDERGRAD,73%,42 months
129,viraj1331,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,317,IELTS,7,UNDERGRAD,63.70%,1 month
130,Aishwarya S,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,300,TOEFL,88,UNDERGRAD,8.18 CGPA ,24 months
131,priyankaguha36,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,N.A. ,TOEFL,90,UNDERGRAD,82%,48 months
132,SagarMulani,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,308,TOEFL,99,UNDERGRAD,65%,19 months
134,ParthMehta,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,314,TOEFL,106,UNDERGRAD,9.15 CGPA ,NA
135,AkRel,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,302,TOEFL,101,UNDERGRAD,65%,30 months
136,adi1993,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,303,TOEFL,94,UNDERGRAD,7.37 CGPA ,27 months
137,KrithikaCT,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,301,TOEFL,0,UNDERGRAD,80.12%,60 months
138,aditi15,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,310,TOEFL,0,UNDERGRAD,79.70%,36 months
139,DrashtiShah,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,308,TOEFL,95,UNDERGRAD,3.5 CGPA ,3 months
140,ArthiAbilasha,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,302,IELTS,0,UNDERGRAD,7.3 CGPA ,1 month
141,Kripesh,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,304,TOEFL,96,UNDERGRAD,7.87 CGPA ,12 months
142,rshetty,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,TOEFL,111,UNDERGRAD,7.6 CGPA ,NA
143,Hemangjalali,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,TOEFL,94,UNDERGRAD,79%,37 months
144,ishan147,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,312,TOEFL,104,UNDERGRAD,8.7 CGPA ,20 months
145,kumar007,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,ENG TEST,NA ,UNDERGRAD,65%,40 months
146,AbhinavSharma0794,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,319,TOEFL,114,UNDERGRAD,6.71 CGPA ,14 months
148,Nishigandha,Syracuse University Management Information System,Fall 2019 ,Admit,GRE,N.A. ,ENG TEST,NA ,UNDERGRAD,65.30%,18 months
149,amruthamandadi,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,306,TOEFL,97,UNDERGRAD,73%,42 months
150,viraj1331,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,317,IELTS,7,UNDERGRAD,63.70%,1 month
151,Aishwarya S,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,300,TOEFL,88,UNDERGRAD,8.18 CGPA ,24 months
152,priyankaguha36,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,N.A. ,TOEFL,90,UNDERGRAD,82%,48 months
153,SagarMulani,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,308,TOEFL,99,UNDERGRAD,65%,19 months
154,hrgupta,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,310,TOEFL,107,UNDERGRAD,7.39 CGPA ,14 months
156,AkRel,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,302,TOEFL,101,UNDERGRAD,65%,30 months
157,adi1993,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,303,TOEFL,94,UNDERGRAD,7.37 CGPA ,27 months
158,KrithikaCT,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,301,TOEFL,0,UNDERGRAD,80.12%,60 months
159,aditi15,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,310,TOEFL,0,UNDERGRAD,79.70%,36 months
160,DrashtiShah,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,308,TOEFL,95,UNDERGRAD,3.5 CGPA ,3 months
161,ArthiAbilasha,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,302,IELTS,0,UNDERGRAD,7.3 CGPA ,1 month
162,Kripesh,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,304,TOEFL,96,UNDERGRAD,7.87 CGPA ,12 months
163,rshetty,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,TOEFL,111,UNDERGRAD,7.6 CGPA ,NA
164,Hemangjalali,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,TOEFL,94,UNDERGRAD,79%,37 months
165,ishan147,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,312,TOEFL,104,UNDERGRAD,8.7 CGPA ,20 months
166,kumar007,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,ENG TEST,NA ,UNDERGRAD,65%,40 months
167,AbhinavSharma0794,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,319,TOEFL,114,UNDERGRAD,6.71 CGPA ,14 months
169,Nishigandha,Syracuse University Management Information System,Fall 2019 ,Admit,GRE,N.A. ,ENG TEST,NA ,UNDERGRAD,65.30%,18 months
170,amruthamandadi,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,306,TOEFL,97,UNDERGRAD,73%,42 months
171,viraj1331,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,317,IELTS,7,UNDERGRAD,63.70%,1 month
172,Aishwarya S,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,300,TOEFL,88,UNDERGRAD,8.18 CGPA ,24 months
173,priyankaguha36,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,N.A. ,TOEFL,90,UNDERGRAD,82%,48 months
174,SagarMulani,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,308,TOEFL,99,UNDERGRAD,65%,19 months
175,hrgupta,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,310,TOEFL,107,UNDERGRAD,7.39 CGPA ,14 months
176,ParthMehta,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,314,TOEFL,106,UNDERGRAD,9.15 CGPA ,NA
178,adi1993,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,303,TOEFL,94,UNDERGRAD,7.37 CGPA ,27 months
179,KrithikaCT,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,301,TOEFL,0,UNDERGRAD,80.12%,60 months
180,aditi15,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,310,TOEFL,0,UNDERGRAD,79.70%,36 months
181,DrashtiShah,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,308,TOEFL,95,UNDERGRAD,3.5 CGPA ,3 months
182,ArthiAbilasha,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,302,IELTS,0,UNDERGRAD,7.3 CGPA ,1 month
183,Kripesh,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,304,TOEFL,96,UNDERGRAD,7.87 CGPA ,12 months
184,rshetty,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,TOEFL,111,UNDERGRAD,7.6 CGPA ,NA
185,Hemangjalali,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,TOEFL,94,UNDERGRAD,79%,37 months
186,ishan147,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,312,TOEFL,104,UNDERGRAD,8.7 CGPA ,20 months
187,kumar007,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,307,ENG TEST,NA ,UNDERGRAD,65%,40 months
188,AbhinavSharma0794,Syracuse University Management Information System,Fall 2018 ,Admit,GRE,319,TOEFL,114,UNDERGRAD,6.71 CGPA ,14 months
,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
1,Niparash,Syracuse University,Management Information System,Fall 2018 ,Applied,304,TOEFL,98,7.81 CGPA ,28 months
2,mischief-managed,Syracuse University,Management Information System,Fall 2015 ,Applied,311,TOEFL,111,59.80%,40 months
3,saiyogesh,Syracuse University,Management Information System,Fall 2018 ,Applied,320,TOEFL,113,7.9 CGPA ,17 months
4,SatwikKashyap,Syracuse University,Management Information System,Fall 2018 ,Applied,308,TOEFL,90,8.16 CGPA ,43 months
5,Nidhiss,Syracuse University,Management Information System,Fall 2018 ,Applied,299,TOEFL,88,83%,30 months
6,neetipopat,Syracuse University,Management Information System,Fall 2014 ,Applied,306,TOEFL,96,62%,15 months
7,ChaitanyaMag,Syracuse University,Management Information System,Fall 2018 ,Applied,303,TOEFL,97,7 CGPA ,16 months
8,AsadM,Syracuse University,Management Information System,Fall 2018 ,Applied,301,ENG TEST,NA ,65%,74 months
9,Akhild17,Syracuse University,Management Information System,Fall 2018 ,Applied,300,TOEFL,88,60%,29 months
10,Bhagyashri333,Syracuse University,Management Information System,Fall 2018 ,Applied,303,TOEFL,87,6.8 CGPA ,8 months
11,Tanya13,Syracuse University,Management Information System,Fall 2018 ,Applied,315,TOEFL,112,8.24 CGPA ,1 month
12,Kiah-kol,Syracuse University,Management Information System,Fall 2018 ,Applied,322,TOEFL,107,74.47%,28 months
13,divsin12,Syracuse University,Management Information System,Fall 2018 ,Applied,296,TOEFL,91,72%,20 months
14,chaitali922,Syracuse University,Management Information System,Fall 2018 ,Applied,308,TOEFL,101,7.79 CGPA ,16 months
15,Mamta-h,Syracuse University,Management Information System,Fall 2018 ,Applied,302,TOEFL,90,7.75 CGPA ,6 months
16,KAPIL TATHOD,Syracuse University,Management Information System,Fall 2018 ,Applied,306,IELTS,7,74.22%,8 months
17,Radhika26,Syracuse University,Management Information System,Fall 2018 ,Applied,308,TOEFL,93,7.8 CGPA ,26 months
18,BhavAce,Syracuse University,Management Information System,Fall 2018 ,Applied,312,TOEFL,113,10 CGPA ,NA
19,shreyadumbre 23,Syracuse University,Management Information System,Fall 2018 ,Applied,311,TOEFL,106,68.23%,19 months
20,Saikumar91,Syracuse University,Management Information System,Fall 2018 ,Applied,297,TOEFL,81,62%,46 months
22,Nishigandha,Syracuse University,Management Information System,Fall 2019 ,Admit,N.A. ,ENG TEST,NA ,65.30%,18 months
